date,total,manufacturas,mineria,utilities
2019-03-01,99.6481696213133,99.53042149057721,99.15125992935786,101.10926138207401
2019-04-01,99.28450840618001,99.04306567920032,99.47696900633287,100.72869083347256
2019-05-01,99.14102324807715,98.74927759058743,100.3093026605646,100.46387235973583
2019-06-01,98.9997624161727,98.65847456871045,101.2821753462171,98.50315958041233
2019-07-01,98.8923500264179,98.54579687416874,100.94036573517154,98.7546011209742
2019-08-01,98.97197445699845,98.65044504385013,101.34018176084787,98.38571138722637
2019-09-01,98.92497347732784,98.36343083423458,101.6458972557905,99.81441905387318
2019-10-01,98.75969636980294,98.0419524500129,102.33710792140715,99.96326143711785
2019-11-01,98.53345982979714,97.7746650977702,101.6241239946899,100.80863241019694
2019-12-01,98.34281250896579,97.79240935641211,100.84718285145743,100.0093446518829
2020-01-01,98.21570354954106,97.96357371351645,100.41235720161039,98.21296333632233
2020-02-01,98.03398577011491,97.93859296950664,100.19454116814798,97.01774395781848
2020-03-01,96.65022921842656,96.42094668428535,99.69244921101823,96.07751836768132
2020-04-01,91.34024679705085,90.22592042972167,94.75172642773363,96.67403998102907
2020-05-01,86.37158561898968,85.1337808058669,86.50424870570059,95.59828493635716
2020-06-01,84.49722007580117,83.68400548386808,79.12631105341985,95.85708699038844
2020-07-01,87.87036240076361,88.12073101058674,77.37608011225326,97.05182633540517
2020-08-01,91.09225054423457,91.82287066418048,79.41531424961222,98.16633608360519
2020-09-01,92.50211875129548,93.35049602968083,81.14207567306629,98.26019863145653
2020-10-01,93.05458980040056,94.10553571304659,81.17230240974108,97.53982837842767
2020-11-01,93.41779970297186,94.5913054454387,82.21046707120996,96.40749338673866
2020-12-01,94.19022115282637,95.3367625682716,83.01732906877736,97.68998285320383
2021-01-01,94.88098726557132,96.07333104012747,84.88916214377916,97.31194048096796
2021-02-01,94.40817288365838,95.29555755798026,83.32271087389474,100.32511067972102
2021-03-01,94.41545835787345,95.23697176548103,84.52101884402059,99.42485587794603
2021-04-01,94.31117291944103,94.93763240042148,85.14916213265617,99.88796018410244
2021-05-01,95.54209569567091,96.33024279234492,88.48411386164219,97.91854279754556
2021-06-01,95.99763125378176,96.75729455898909,89.01014806373696,98.91675643292876
2021-07-01,96.54346156090317,97.40322522552886,89.53835124969622,98.99794609671972
2021-08-01,96.74023383793302,97.50671687928384,89.73781434276731,99.81281894224941
2021-09-01,96.43695179627235,97.2076088174096,89.3472860172284,99.34449827219947
2021-10-01,96.41574010585857,97.07034689860427,89.88430417607255,99.15536507826785
2021-11-01,96.6806283431381,97.31694913742086,90.65387633566304,98.83956704819728
2021-12-01,97.2333895217473,97.92217044335204,92.031486971915,97.9848194210028
2022-01-01,97.23322833868944,97.76362863150132,91.86066558884853,99.42287173953252
2022-02-01,97.2142087378625,97.60095640562781,91.69899286849228,100.6523655090179
2022-03-01,97.47793645712545,97.62521019676961,92.10114472294568,102.22703535798655
2022-04-01,97.88231251267301,97.94470598226036,93.15343558701879,102.23260374643735
2022-05-01,98.05223169226413,97.93069561789507,94.20786762747092,102.31968182100383
2022-06-01,97.93208584093874,97.58965559286146,94.97221197979843,102.46266779570543
2022-07-01,97.86213239382953,97.29259621634249,96.05005792299217,102.29779229399043
2022-08-01,97.78566715118292,97.13464918411104,96.87463328878574,101.53802729278392
