Periodo,Al por mayor,Al por menor
2023
Enero,2.977979955015,0.548355809896
Febrero,-3.297863497518,-0.452698033579
Marzo,-2.445258794931,-0.758515812608
Abril,2.957606614634,1.649254110495
Mayo,-0.215698596850,-0.442692146077
Junio,1.425753531253,2.088305650869
Julio,-0.282640281889,-0.170264210247
Agosto,2.532576411039,-0.625656868067
Septiembre,3.332296843765,0.270974188773
Octubre,-4.069133941439,0.570596555331
Noviembre,-1.661316885111,0.246868243192
Diciembre,-1.288441785951,-1.069430344159
2024
Enero,-0.365352969977,-1.132667949369
Febrero,0.896310033380,0.450109709651
Marzo,-2.049262473492,-1.023291173412
Abril,-4.865350421271,0.525261892753
Mayo,4.071426748958,-0.095026305337
Junio,-2.561465681961,-0.673883283306
Julio,0.657599861113,0.986078319218
Agosto,-0.562384960221,-0.223922766209
Septiembre,-1.716231273654,0.637729954239
Octubre,-0.828338407239,-0.558092657474
Noviembre,3.129276149628,-0.124511960905
Diciembre,-2.243712967585,0.520454790982
2025
Enero,-2.409397005447,0.849337215616
Febrero,-0.071300994867,-0.046057858926
Marzo,-0.326254255398,0.600706193013
Abril,-1.037157356633,-0.974965543359
Mayo,-1.902390234774,1.438431528840
Junio,-1.911505892283,-0.027719228480
Julio,4.109665128663,0.159061287562
Agosto,1.262247554111,0.635441340296
Septiembre,2.361426705715,0.030185597061
Octubre,-1.408870131183,0.542126182555
Noviembre,1.873234081116,1.013062616379
"Fuente:    INEGI. Series calculadas por métodos econométricos a partir de la Encuesta Mensual Sobre Empresas Comerciales.    Fecha de actualización: Miércoles, 21 de Enero de 2026"
