Periodo,Exportaciones,Importaciones,Saldo
Petroleras  a,No petroleras,Petroleras  a,No petroleras,Petroleras  a,No petroleras
2023
Enero,2715.928000000000,39893.806000000000,5573.881000000000,41165.187000000000,-2857.953000000000,-1271.381000000000
Febrero,2268.795000000000,42622.385000000000,4979.742000000000,41897.280000000000,-2710.947000000000,725.104000000000
Marzo,2561.535000000000,51002.654000000000,5224.251000000000,47179.476000000000,-2662.716000000000,3823.178000000000
Abril,2560.900000000000,43525.660000000000,4455.249000000000,43277.500000000000,-1894.350000000000,248.160000000000
Mayo,2738.721000000000,50096.608000000000,4285.389000000000,48744.263000000000,-1546.668000000000,1352.344000000000
Junio,2889.611000000000,48930.608000000000,4074.168000000000,47932.547000000000,-1184.557000000000,998.061000000000
Julio,2784.562000000000,45002.291000000000,4223.934000000000,44403.701000000000,-1439.373000000000,598.590000000000
Agosto,3062.546000000000,49396.044000000000,5612.114000000000,48963.340000000000,-2549.568000000000,432.705000000000
Septiembre,3424.299000000000,46217.956000000000,5854.650000000000,46448.929000000000,-2430.351000000000,-230.973000000000
Octubre,3143.741000000000,48713.130000000000,5407.718000000000,48255.372000000000,-2263.978000000000,457.758000000000
Noviembre,2435.589000000000,47736.283000000000,4738.517000000000,46203.893000000000,-2302.928000000000,1532.390000000000
Diciembre,2604.196000000000,46673.615000000000,4129.887000000000,42248.976000000000,-1525.691000000000,4424.639000000000
2024
Enero,2787.498000000000,39348.303000000000,4391.622000000000,42828.215000000000,-1604.125000000000,-3479.912000000000
Febrero,2683.887000000000,48110.932000000000,4192.011000000000,48032.728000000000,-1508.124000000000,78.204000000000
Marzo,2027.632000000000,48618.033000000000,4300.894000000000,44810.431000000000,-2273.262000000000,3807.603000000000
Abril,2098.814000000000,49423.835000000000,4087.659000000000,51855.702000000000,-1988.845000000000,-2431.867000000000
Mayo,3173.891000000000,52580.150000000000,4414.486000000000,50448.579000000000,-1240.595000000000,2131.571000000000
Junio,2095.467000000000,46728.801000000000,4147.281000000000,47083.310000000000,-2051.814000000000,-354.509000000000
Julio,2424.031000000000,52126.680000000000,4314.658000000000,51456.564000000000,-1890.627000000000,670.116000000000
Agosto,2220.749000000000,49681.779000000000,4504.314000000000,53242.882000000000,-2283.564000000000,-3561.103000000000
Septiembre,1890.547000000000,47739.196000000000,4027.233000000000,47093.556000000000,-2136.686000000000,645.640000000000
Octubre,2593.857000000000,55303.853000000000,4053.449000000000,54055.585000000000,-1459.591000000000,1248.267000000000
Noviembre,2596.585000000000,49668.209000000000,3696.374000000000,49274.656000000000,-1099.790000000000,393.553000000000
Diciembre,2267.361000000000,49486.999000000000,3956.833000000000,45949.005000000000,-1689.472000000000,3537.994000000000
2025
Enero  R,1671.129000000000,42727.138000000000,4223.781000000000,45387.695000000000,-2552.651000000000,-2660.557000000000
Febrero,1961.700000000000,47136.835000000000,3546.146000000000,43898.161000000000,-1584.446000000000,3238.674000000000
Marzo,2144.737000000000,53260.235000000000,3006.874000000000,49108.328000000000,-862.136000000000,4151.907000000000
Abril,1896.878000000000,52450.887000000000,4713.005000000000,49679.221000000000,-2816.128000000000,2771.666000000000
Mayo,2054.545000000000,53422.190000000000,3961.885000000000,50283.026000000000,-1907.340000000000,3139.165000000000
Junio,1458.116000000000,52543.711000000000,3925.415000000000,49561.983000000000,-2467.299000000000,2981.728000000000
Julio,1865.629000000000,54842.144000000000,4006.899000000000,52717.569000000000,-2141.269000000000,2124.575000000000
Agosto,1637.909000000000,54080.275000000000,3874.553000000000,53787.515000000000,-2236.644000000000,292.760000000000
Septiembre,1666.627000000000,54821.310000000000,3938.171000000000,54949.304000000000,-2271.543000000000,-127.994000000000
Octubre,1820.126000000000,64312.425000000000,3949.582000000000,61576.900000000000,-2129.456000000000,2735.524000000000
Noviembre,1546.511000000000,54865.383000000000,3721.782000000000,52027.320000000000,-2175.271000000000,2838.063000000000
Diciembre,1521.630000000000,59129.097000000000,3929.288000000000,54291.819000000000,-2407.658000000000,4837.278000000000
"Nota:La suma de las cifras parciales puede no coincidir con el total debido al redondeo.    En el marco del Comité Técnico Especializado de Estadísticas de Comercio Exterior (CTE-ECE), conformado por INEGI, Banco de México, Secretaría de Economía y el Servicio de Administración Tributaria, y, como resultado del proceso de revisión de la información publicada, se realizaron ajustes a las cifras de comercio exterior de distintos periodos. Las principales revisiones correspondieron a los datos de importaciones de productos petroleros (comprendidas entre enero de 2022 y mayo de 2025); a las cifras de exportaciones de petróleo crudo (entre enero de 2022 y mayo de 2025); y a la información de exportaciones de bienes agropecuarios (entre abril de 2024 y abril de 2025). En el caso de las importaciones de productos petroleros, las revisiones a la estadística reflejaron las modificaciones extraordinarias a los pedimentos aduanales históricos sustentadas en la “Ley de la Empresa Pública del Estado, Petróleos Mexicanos”, publicada en el Diario Oficial de la Federación el 18 de marzo de 2025. La información histórica revisada de la balanza comercial se encuentra disponible en la página de internet del INEGI. Por lo anterior, la información del periodo 2022-2024 se presenta con el estatus de cifras ajustadas. a Incluye petróleo crudo, derivados del petróleo y petroquímicos. R Cifras revisada a partir de la fecha en que se indica.Fuente:SAT, SE, BANXICO, INEGI. Balanza Comercial de Mercancías de México. SNIEG. Información de Interés Nacional.Fecha de actualización: Lunes, 9 de Febrero de 2026"
