Periodo,Total,Agropecuarias,Extractivas,Manufactureras
Total,Automotriz,Resto
2023
Enero,39893.806000000000,1917.375000000000,654.959000000000,37321.471000000000,13603.536000000000,23717.935000000000
Febrero,42622.385000000000,2060.552000000000,803.178000000000,39758.655000000000,13122.264000000000,26636.391000000000
Marzo,51002.654000000000,2312.304000000000,1060.756000000000,47629.593000000000,16427.953000000000,31201.640000000000
Abril,43525.660000000000,1961.250000000000,860.201000000000,40704.210000000000,12899.323000000000,27804.887000000000
Mayo,50096.608000000000,2099.894000000000,550.145000000000,47446.569000000000,17522.451000000000,29924.118000000000
Junio,48930.608000000000,1845.170000000000,1060.303000000000,46025.135000000000,15827.641000000000,30197.494000000000
Julio,45002.291000000000,1500.480000000000,590.997000000000,42910.815000000000,15951.441000000000,26959.374000000000
Agosto,49396.044000000000,1461.038000000000,774.379000000000,47160.627000000000,16924.382000000000,30236.245000000000
Septiembre,46217.956000000000,1344.142000000000,765.007000000000,44108.807000000000,16661.188000000000,27447.619000000000
Octubre,48713.130000000000,1656.867000000000,689.790000000000,46366.472000000000,17669.912000000000,28696.560000000000
Noviembre,47736.283000000000,1733.802000000000,597.380000000000,45405.101000000000,16072.909000000000,29332.192000000000
Diciembre,46673.615000000000,1916.192000000000,764.010000000000,43993.414000000000,16220.301000000000,27773.113000000000
2024
Enero,39348.303000000000,2043.314000000000,733.967000000000,36571.021000000000,12721.075000000000,23849.946000000000
Febrero,48110.932000000000,2320.878000000000,742.479000000000,45047.576000000000,16650.703000000000,28396.873000000000
Marzo,48618.033000000000,2366.202000000000,793.606000000000,45458.225000000000,16036.455000000000,29421.770000000000
Abril,49423.835000000000,2621.044000000000,829.978000000000,45972.812000000000,16472.539000000000,29500.273000000000
Mayo,52580.150000000000,2162.779000000000,828.182000000000,49589.190000000000,17723.762000000000,31865.428000000000
Junio,46728.801000000000,1749.969000000000,1214.908000000000,43763.924000000000,15610.622000000000,28153.302000000000
Julio,52126.680000000000,1593.080000000000,790.129000000000,49743.471000000000,17106.844000000000,32636.627000000000
Agosto,49681.779000000000,1446.288000000000,803.438000000000,47432.054000000000,16358.354000000000,31073.700000000000
Septiembre,47739.196000000000,1510.038000000000,966.753000000000,45262.405000000000,15420.997000000000,29841.408000000000
Octubre,55303.853000000000,1719.217000000000,1083.938000000000,52500.698000000000,18740.229000000000,33760.469000000000
Noviembre,49668.209000000000,1827.101000000000,886.824000000000,46954.283000000000,16100.723000000000,30853.560000000000
Diciembre,49486.999000000000,2150.641000000000,1200.288000000000,46136.069000000000,14964.939000000000,31171.130000000000
2025
Enero  R,42727.138000000000,2101.213000000000,845.771000000000,39780.154000000000,12471.249000000000,27308.905000000000
Febrero,47136.835000000000,2039.102000000000,871.603000000000,44226.130000000000,14125.375000000000,30100.755000000000
Marzo,53260.235000000000,2203.614000000000,1064.491000000000,49992.130000000000,17022.638000000000,32969.492000000000
Abril,52450.887000000000,2227.843000000000,1215.079000000000,49007.965000000000,15305.462000000000,33702.503000000000
Mayo,53422.190000000000,1954.791000000000,1131.364000000000,50336.036000000000,16124.378000000000,34211.658000000000
Junio,52543.711000000000,1711.222000000000,1148.585000000000,49683.904000000000,16319.015000000000,33364.889000000000
Julio,54842.144000000000,1503.948000000000,965.120000000000,52373.076000000000,15908.756000000000,36464.320000000000
Agosto,54080.275000000000,1239.691000000000,1135.150000000000,51705.434000000000,16160.718000000000,35544.716000000000
Septiembre,54821.310000000000,1290.950000000000,1160.172000000000,52370.189000000000,15386.827000000000,36983.362000000000
Octubre,64312.425000000000,1383.576000000000,1285.205000000000,61643.644000000000,16122.096000000000,45521.548000000000
Noviembre,54865.383000000000,1436.029000000000,1344.470000000000,52084.885000000000,15767.989000000000,36316.896000000000
Diciembre,59129.097000000000,1877.496000000000,1636.649000000000,55614.953000000000,15076.945000000000,40538.008000000000
"Nota:La suma de las cifras parciales puede no coincidir con el total debido al redondeo.    En el marco del Comité Técnico Especializado de Estadísticas de Comercio Exterior (CTE-ECE), conformado por INEGI, Banco de México, Secretaría de Economía y el Servicio de Administración Tributaria, y, como resultado del proceso de revisión de la información publicada, se realizaron ajustes a las cifras de comercio exterior de distintos periodos. Las principales revisiones correspondieron a los datos de importaciones de productos petroleros (comprendidas entre enero de 2022 y mayo de 2025); a las cifras de exportaciones de petróleo crudo (entre enero de 2022 y mayo de 2025); y a la información de exportaciones de bienes agropecuarios (entre abril de 2024 y abril de 2025). En el caso de las importaciones de productos petroleros, las revisiones a la estadística reflejaron las modificaciones extraordinarias a los pedimentos aduanales históricos sustentadas en la “Ley de la Empresa Pública del Estado, Petróleos Mexicanos”, publicada en el Diario Oficial de la Federación el 18 de marzo de 2025. La información histórica revisada de la balanza comercial se encuentra disponible en la página de internet del INEGI. Por lo anterior, la información del periodo 2022-2024 se presenta con el estatus de cifras ajustadas. R Cifras revisada a partir de la fecha en que se indica.Fuente:SAT, SE, BANXICO, INEGI. Balanza Comercial de Mercancías de México. SNIEG. Información de Interés Nacional.Fecha de actualización: Lunes, 9 de Febrero de 2026"
