Periodo,Total,Edificación,"Agua, riego y saneamiento",Electricidad y comunicaciones,Transporte,Petróleo y petroquímica,Otras construcciones
2023
Enero  P,1.453565568815,6.976523187323,3.503705813377,4.969904203057,-3.356289279004,-4.200990520205,-0.589508429589
Febrero,-0.146111561052,-3.209010357983,6.127342383267,8.481945117353,16.314200218467,-1.969528588231,-6.111481364419
Marzo,5.019458271371,0.966348976478,35.459239784817,-6.675127083346,7.607860284050,-0.984561134900,5.972772503507
Abril,5.542825709766,-0.213329577183,1.791937964471,26.569992130803,24.374039040295,-4.597836567394,0.112500904783
Mayo,9.109058331201,4.023006408877,-3.979419485774,14.397804635710,24.468756632985,5.045818243144,1.693276547251
Junio,4.923185646889,1.648853969618,-9.729230757096,6.033432366859,13.273987294328,3.287958166637,1.921087046828
Julio,7.681201050123,0.500384538452,-4.073886595791,6.387888583155,20.131707101995,-4.031216295008,9.443946886829
Agosto,3.371670675375,6.545595629345,11.583283581355,3.740081794846,5.179348440525,-4.895693009468,-2.060070520200
Septiembre,1.979811037602,1.093624639710,6.889937331873,8.581386031815,1.624293239263,4.575052381291,2.529947835914
Octubre,-1.543831902097,0.227968877398,-15.701151055298,-6.846043879516,-6.806044228100,3.106455501080,2.524032147229
Noviembre,-1.477171938905,2.123140217055,7.893586253670,-2.903274988160,-2.345353092257,-7.039001622823,-0.704848379570
Diciembre,-2.922675862867,0.210714098576,1.195040021519,-5.449550067025,-3.530145780049,0.073704985382,-2.619078820409
2024
Enero,-6.357731462562,-4.224780934846,-3.578765296212,-12.705486172263,-15.813197236346,10.814383519777,-8.178664054839
Febrero,-3.097536195967,-2.269287725293,-14.988093082937,16.764623932078,-5.806208524470,-5.467025511082,2.454513860366
Marzo,-2.114056340389,0.643882611558,17.733898917292,4.455113987278,-9.554531842225,-0.728631260791,-6.930341870815
Abril,-0.128664072928,3.055979482609,-1.506839687065,-11.329057464161,-0.701605159603,-5.010506299561,0.833737519514
Mayo,0.167531726220,1.256804585180,10.332614280377,-5.625183818421,-6.000674407399,4.267157205401,-1.426528926718
Junio,2.595601517925,-0.387452519333,10.291877249075,2.302355696297,7.499751075553,1.372387427024,4.007153054287
Julio,-2.173368567756,3.512257681214,-2.545475194348,9.835158711224,-11.051937877809,-4.438211321002,-6.256914156316
Agosto,-1.248611428126,0.909769167766,-3.375196736176,-1.077039631234,-6.602781136333,2.427004151786,2.815853400820
Septiembre,-5.614715553380,-1.331911979377,-2.351423265238,0.183824258619,-19.294471005013,-2.075837079132,-2.046372750987
Octubre,-1.296233497374,-1.794027487092,-12.704949111439,-1.894732837969,12.706625340769,-19.560294609333,2.170085021653
Noviembre,-4.502814023612,-3.231494247256,5.358518040009,-1.555355814651,-13.474021311904,-8.474929510036,4.404799689104
Diciembre,-0.138448908353,0.386765944844,-4.854390951619,5.839031067693,2.469077479546,3.295808521109,-4.891805193210
2025
Enero,-3.583732166888,-1.401367313034,-17.500130040090,6.659433111598,-14.921197335847,-10.669291651183,4.889552124135
Febrero,-0.033324176798,1.289141618901,4.135449032095,-6.569717098828,3.405436652509,-13.255640902784,1.188893087582
Marzo,0.560383979709,-0.875853079203,-8.285994886037,-4.486876797015,4.692567053782,0.450454910523,2.827672396105
Abril,-0.367178223975,1.501794521165,0.087817750831,5.113947136786,2.097128006558,-15.604682513302,-2.402287771219
Mayo,-2.259508081291,-1.629663015814,-11.332662593421,12.015772391260,-2.693676321030,-31.304305772975,1.470224549376
Junio,0.992563286259,2.686237697090,-12.212104196966,-1.437353537061,2.967770639063,-1.875391326690,-1.453834629770
Julio,-1.692488949623,-3.021198240962,-0.246111360233,-1.491822493923,-1.483401452819,16.891519060926,-0.670395588944
Agosto,-2.624411528962,0.036801416519,-4.326018291662,1.796493438392,-4.009507388122,-27.635124878709,-0.342506956751
Septiembre,-1.061497970771,-0.042375865712,6.413682904660,0.969695573212,-0.806664635739,-13.801059141910,0.540932707426
Octubre,0.341917680481,0.583493852026,13.260862707806,2.176446556424,-2.127224898904,6.142979067253,-3.980318513093
Noviembre,1.669373166829,-0.217334442744,-16.233380844682,4.336684788507,12.232170048370,3.645461199673,-1.279431776391
"P Cifras preliminar a partir de la fecha en que se indica.    Fuente:    INEGI. Series calculadas por métodos econométricos a partir de la Encuesta Nacional de Empresas Constructoras.    Fecha de actualización: Viernes, 23 de Enero de 2026"
