Periodo,Índice,Variación Mensual,Variación Anual
2018
Enero,98.800915816339,0.120238714284,-1.426482721975
Febrero,99.244777506852,0.449248558928,0.307672105993
Marzo,99.476983796373,0.233973308576,-0.379835303366
Abril,100.557866736583,1.086565855698,1.101209288791
Mayo,101.018639224445,0.458216251812,1.764387016626
Junio,100.813788348960,-0.202785225635,1.749821141306
Julio,100.112896532871,-0.695234082131,1.072573057776
Agosto,100.443960281255,0.330690410376,1.797491485442
Septiembre,99.860552571072,-0.580829059856,0.715545295570
Octubre,99.877835996076,0.017307559952,0.935942230437
Noviembre,100.003205153654,0.125522500891,0.750813570503
Diciembre,100.111093980694,0.107885369148,1.447912142102
2019
Enero,100.356200471694,0.244834494614,1.574160160869
Febrero,101.512733642254,1.152428215819,2.285214590003
Marzo,101.019224423902,-0.486154988291,1.550349205084
Abril,101.056657593413,0.037055490897,0.496023705571
Mayo,101.780229955370,0.716006623599,0.753911096776
Junio,102.251860783793,0.463381570890,1.426464036700
Julio,102.428450629853,0.172700863052,2.312942864680
Agosto,103.315438647602,0.865958639709,2.858786489806
Septiembre,103.282525730702,-0.031856726672,3.426751676739
Octubre,103.445363127117,0.157662097497,3.571890695731
Noviembre,104.039249493593,0.574106319049,4.035914982662
Diciembre,103.542733922219,-0.477238709228,3.427831826697
2020
Enero,103.089971197056,-0.437271364211,2.724067583779
Febrero,101.871811667419,-1.181646978355,0.353727076674
Marzo,101.743576323934,-0.125879123367,0.717043616364
Abril,100.390942551706,-1.329453731724,-0.658754264747
Mayo,96.207329306077,-4.167321412959,-5.475425484632
Junio,98.627947363064,2.516043293631,-3.544105107673
Julio,100.017599581354,1.408984223482,-2.353692781326
Agosto,100.960909644488,0.943144073725,-2.278971114032
Septiembre,101.531474462941,0.565134387618,-1.695399347927
Octubre,102.635327311117,1.087202617725,-0.783056670220
Noviembre,104.204747512311,1.529122810157,0.159072676440
Diciembre,103.511218349602,-0.665544688957,-0.030437261431
2021
Enero,102.426631870378,-1.047796071302,-0.643456699983
Febrero,101.544617348975,-0.861118349102,-0.321182389013
Marzo,102.567588276955,1.007410293807,0.809890887261
Abril,100.706501751677,-1.814497695171,0.314330348884
Mayo,101.129723558587,0.420252714123,5.116444129584
Junio,101.381176424417,0.248643877370,2.791530326813
Julio,102.800941633140,1.400422897816,2.782852281435
Agosto,101.724873280345,-1.046749509975,0.756692504601
Septiembre,102.460026997324,0.722688260277,0.914546488460
Octubre,103.120317236844,0.644436917372,0.472537028363
Noviembre,102.840243007209,-0.271599464722,-1.309445622850
Diciembre,103.703660351305,0.839571474015,0.185914149955
2022
Enero,104.126126753768,0.407378486962,1.659231444358
Febrero,105.122026637813,0.956436117517,3.522992534940
Marzo,104.543157757913,-0.550663736625,1.926114783574
Abril,106.605168970016,1.972401882941,5.857285394427
Mayo,106.128837209029,-0.446818635146,4.943268382956
Junio,105.978135426184,-0.141998901343,4.534331878851
Julio,106.656747872094,0.640332501776,3.750749922811
Agosto,106.095403946431,-0.526308871086,4.296422816907
Septiembre,106.583684787131,0.460228080141,4.024650305738
Octubre,106.467105438050,-0.109378231118,3.245517751385
Noviembre,107.350383815324,0.829625614071,4.385579687709
Diciembre,108.768530910069,1.321045202022,4.883984366228
2023
Enero,109.741752919869,0.894764323520,5.393100023187
Febrero,110.213958764603,0.430288228655,4.843829870531
Marzo,110.905703918626,0.627638424186,6.086047424975
Abril,111.757971164267,0.768461148100,4.833538789944
Mayo,112.817277396833,0.947857429345,6.302189267023
Junio,113.296923704377,0.425153237706,6.905941729170
Julio,113.075135434818,-0.195758421595,6.017797927255
Agosto,113.730477763174,0.579563602410,7.196422778689
Septiembre,114.879278656204,1.010108209887,7.783174212489
Octubre,114.447331213163,-0.376001179755,7.495484865752
Noviembre,115.402585920390,0.834667525316,7.500860098384
Diciembre,116.413608699375,0.876083296506,7.028758893165
2024
Enero,116.918807743311,0.433969060474,6.539949137392
Febrero,117.901427509250,0.840429170383,6.975040939293
Marzo,118.843294427724,0.798859639253,7.157062467159
Abril,117.705184661963,-0.957655853653,5.321511687927
Mayo,119.486637611996,1.513487239453,5.911647904517
Junio,119.572845677984,0.072148708601,5.539357794023
Julio,119.313843897465,-0.216605851479,5.517312394681
Agosto,120.939256981267,1.362300493142,6.338476158611
Septiembre,121.086955704937,0.122126369350,5.403652531028
Octubre,121.715881568765,0.519400178299,6.351000306039
Noviembre,122.648975375029,0.766616315174,6.279226238169
Diciembre,121.599701389744,-0.855509784796,4.454885256381
2025
Enero,122.638837805616,0.854555072090,4.892309605879
Febrero,123.064984354306,0.347480909241,4.379554136146
Marzo,122.584503853809,-0.390428279025,3.148018947220
Abril,124.395796846822,1.477587244774,5.684211960649
Mayo,124.055259093260,-0.273753424307,3.823541755438
Junio,124.326212590498,0.218413551524,3.975289611585
Julio,124.991159909639,0.534840807329,4.758304507441
Agosto,125.605025756186,0.491127410123,3.857943972354
Septiembre,124.960688317629,-0.512986988122,3.199132879459
Octubre,126.171563494540,0.969004887228,3.660723537756
Noviembre,125.605730272323,-0.448463351444,2.410745697836
"Fuente:    INEGI. Series calculadas por métodos econométricos a partir de las series originales del Índice Global de Remuneraciones Medias Reales de los Sectores Económicos.    Fecha de actualización: Viernes, 30 de Enero de 2026"
