Periodo,Índice,Variación Mensual,Variación Anual
2018
Enero,97.990675430318,0.271060868294,1.304095037306
Febrero,98.535757719252,0.556259344617,2.843652547387
Marzo,99.021248996525,0.492705682190,2.214411670894
Abril,100.357798728571,1.349760526746,4.187697752829
Mayo,100.911713794101,0.551940230403,4.643511175353
Junio,100.708619513741,-0.201259370913,4.324023177288
Julio,100.165283708193,-0.539512713183,3.364863772359
Agosto,100.621845708009,0.455808622423,3.832948189260
Septiembre,100.294877135037,-0.324947898412,3.117286552072
Octubre,100.397869040517,0.102689098807,3.257228103355
Noviembre,100.575211563053,0.176639727746,2.934968136963
Diciembre,100.711272835434,0.135283108299,3.054970529173
2019
Enero,101.149914553353,0.435543813090,3.224020152082
Febrero,102.413754095470,1.249471685367,3.935623438617
Marzo,102.116301601788,-0.290441939473,3.125644885950
Abril,102.027263371676,-0.087192964018,1.663512616115
Mayo,103.030524468755,0.983326479535,2.099667714471
Junio,103.513138698680,0.468418686999,2.784785650404
Julio,103.854419749745,0.329698292753,3.683048562314
Agosto,104.338495303018,0.466109727867,3.693680600726
Septiembre,104.355101931917,0.015916109247,4.048287323203
Octubre,104.419615215388,0.061820919415,4.005808303808
Noviembre,104.679340681516,0.248732448968,4.080656709223
Diciembre,104.443210371095,-0.225574892700,3.705580746417
2020
Enero,103.702228707067,-0.709458912068,2.523298378436
Febrero,102.357591324988,-1.296633060681,-0.054839089708
Marzo,101.650116076542,-0.691180047604,-0.456524098438
Abril,97.266047676993,-4.312900534465,-4.666611195224
Mayo,92.467172964424,-4.933761396891,-10.252642659831
Junio,94.762955244044,2.482807904708,-8.453210447137
Julio,96.744409071779,2.090958246956,-6.846132013543
Agosto,97.582210693818,0.865994872549,-6.475351776521
Septiembre,98.290880580220,0.726228562934,-5.811140269552
Octubre,100.002628904513,1.741512858760,-4.230035038689
Noviembre,100.830480356676,0.827829689311,-3.676809865043
Diciembre,100.838225608577,0.007681458894,-3.451621938572
2021
Enero,100.271966906863,-0.561551632128,-3.307799497631
Febrero,99.381528047893,-0.888023728304,-2.907515933670
Marzo,101.022422592369,1.651106173056,-0.617503952185
Abril,98.849972071156,-2.150463694560,1.628445312616
Mayo,99.318661959324,0.474142661195,7.409644715251
Junio,99.824064748732,0.508869913708,5.340810121058
Julio,102.429316158816,2.609843044001,5.876212529056
Agosto,100.816742272210,-1.574328470675,3.314673397327
Septiembre,101.651055631783,0.827554373182,3.418603060353
Octubre,102.180639405040,0.520982069459,2.177953244216
Noviembre,101.783446406982,-0.388716493037,0.945117038950
Diciembre,102.853244120257,1.051052750756,1.998268513274
2022
Enero,103.106788340786,0.246510669350,2.827132568922
Febrero,104.347584149914,1.203408455539,4.996960903668
Marzo,104.404829298317,0.054860061083,3.348174216328
Abril,105.713266998846,1.253234844904,6.943143011462
Mayo,105.518847006347,-0.183912575988,6.242719066798
Junio,105.259249923021,-0.246019636009,5.444764434278
Julio,106.052638322130,0.753746962561,3.537387829180
Agosto,105.122607885968,-0.876951720274,4.270982692668
Septiembre,105.811173880960,0.655012284074,4.092548004859
Octubre,105.726069378079,-0.080430544109,3.469766869421
Noviembre,106.406956738442,0.644010852166,4.542497326110
Diciembre,108.123433126802,1.613124217601,5.123989089137
2023
Enero,108.699281755309,0.532584484098,5.423981780946
Febrero,109.172166136077,0.435039103416,4.623568456776
Marzo,109.692677091750,0.476779910206,5.064754024284
Abril,110.506959012329,0.742330246802,4.534617224095
Mayo,111.827939490225,1.195382163895,5.979114312629
Junio,112.546158485962,0.642253625535,6.922820149555
Julio,112.920877381678,0.332946855545,6.476254780844
Agosto,113.615633457188,0.615259189992,8.079161792136
Septiembre,114.473257046633,0.754846462013,8.186359576181
Octubre,113.745517704620,-0.635728694010,7.585119142057
Noviembre,114.929237745319,1.040674010358,8.009138939877
Diciembre,115.885997369430,0.832477133653,7.179354204860
2024
Enero,115.862076552376,-0.020641680269,6.589551174028
Febrero,116.637284597986,0.669078328887,6.837931980395
Marzo,117.388889441529,0.644395011538,7.016158738966
Abril,116.615459298453,-0.658861453376,5.527706436517
Mayo,118.263796818017,1.413481136618,5.755142549465
Junio,118.401496270427,0.116434154927,5.202610078598
Julio,118.120447007181,-0.237369688812,4.604613200027
Agosto,119.621501303471,1.270782776668,5.286128029684
Septiembre,119.614440034919,-0.005903009472,4.491165116575
Octubre,120.132760321222,0.433325847742,5.615379617146
Noviembre,121.196976415577,0.885866679089,5.453563247454
Diciembre,120.105095362451,-0.900914433197,3.640731485074
2025
Enero,121.686487263856,1.316673448893,5.027020820611
Febrero,121.907633053703,0.181734056771,4.518579521019
Marzo,121.570948580546,-0.276179977187,3.562568109225
Abril,123.088991058024,1.248688519093,5.551178032926
Mayo,122.431931650162,-0.533808427719,3.524438538498
Junio,122.449468091674,0.014323421411,3.418851913832
Julio,122.754753663259,0.249315555504,3.923373787941
Agosto,123.035987928456,0.229102545363,2.854408770813
Septiembre,122.533080498451,-0.408748235758,2.440040234841
Octubre,123.853382897895,1.077506901869,3.097092389057
Noviembre,123.063850300430,-0.637473582870,1.540363415051
"Fuente:    INEGI. Series calculadas por métodos econométricos a partir de las series originales del Índice Global de Remuneraciones de los Sectores Económicos.    Fecha de actualización: Viernes, 30 de Enero de 2026"
