fecha,SP30578,SP74662,SP74665
1970-01-01,5.2,,
1970-02-01,4.81,,
1970-03-01,5.01,,
1970-04-01,4.87,,
1970-05-01,5.09,,
1970-06-01,5.35,,
1970-07-01,5.46,,
1970-08-01,5.84,,
1970-09-01,5.11,,
1970-10-01,4.05,,
1970-11-01,4.6,,
1970-12-01,4.69,,
1971-01-01,4.93,,
1971-02-01,5.38,,
1971-03-01,5.47,,
1971-04-01,5.87,,
1971-05-01,5.87,,
1971-06-01,5.71,,
1971-07-01,5.11,,
1971-08-01,5.58,,
1971-09-01,5.67,,
1971-10-01,5.74,,
1971-11-01,5.34,,
1971-12-01,4.96,,
1972-01-01,4.4,,
1972-02-01,4.29,,
1972-03-01,4.46,,
1972-04-01,4.58,,
1972-05-01,4.57,,
1972-06-01,4.87,,
1972-07-01,5.35,,
1972-08-01,5.08,,
1972-09-01,5.22,,
1972-10-01,5.19,,
1972-11-01,5.7,,
1972-12-01,5.56,,
1973-01-01,6.62,,
1973-02-01,7.16,,
1973-03-01,7.52,,
1973-04-01,8.54,,
1973-05-01,9.47,,
1973-06-01,9.56,,
1973-07-01,11.95,,
1973-08-01,13.0,,
1973-09-01,15.16,,
1973-10-01,16.56,,
1973-11-01,17.23,,
1973-12-01,21.37,,
1974-01-01,23.92,,
1974-02-01,25.68,,
1974-03-01,25.54,,
1974-04-01,25.26,,
1974-05-01,24.92,,
1974-06-01,25.13,,
1974-07-01,23.76,,
1974-08-01,23.09,,
1974-09-01,21.6,,
1974-10-01,22.44,,
1974-11-01,24.31,,
1974-12-01,20.6,,
1975-01-01,17.92,,
1975-02-01,15.95,,
1975-03-01,15.79,,
1975-04-01,15.2,,
1975-05-01,15.83,,
1975-06-01,16.65,,
1975-07-01,15.91,,
1975-08-01,15.69,,
1975-09-01,15.22,,
1975-10-01,13.56,,
1975-11-01,11.27,,
1975-12-01,11.31,,
1976-01-01,12.02,,
1976-02-01,13.49,,
1976-03-01,13.89,,
1976-04-01,13.72,,
1976-05-01,13.01,,
1976-06-01,11.56,,
1976-07-01,11.62,,
1976-08-01,11.72,,
1976-09-01,14.69,,
1976-10-01,20.53,,
1976-11-01,25.1,,
1976-12-01,27.2,,
1977-01-01,28.77,,
1977-02-01,29.19,,
1977-03-01,30.17,,
1977-04-01,31.22,,
1977-05-01,31.45,,
1977-06-01,32.53,,
1977-07-01,32.91,,
1977-08-01,34.35,,
1977-09-01,32.22,,
1977-10-01,26.13,,
1977-11-01,22.0,,
1977-12-01,20.66,,
1978-01-01,19.53,,
1978-02-01,18.63,,
1978-03-01,17.81,,
1978-04-01,17.35,,
1978-05-01,17.46,,
1978-06-01,17.64,,
1978-07-01,18.3,,
1978-08-01,17.07,,
1978-09-01,16.35,,
1978-10-01,16.86,,
1978-11-01,16.79,,
1978-12-01,16.17,,
1979-01-01,17.68,,
1979-02-01,17.68,,
1979-03-01,18.05,,
1979-04-01,17.8,,
1979-05-01,18.18,,
1979-06-01,17.87,,
1979-07-01,17.31,,
1979-08-01,17.91,,
1979-09-01,18.01,,
1979-10-01,18.63,,
1979-11-01,18.93,,
1979-12-01,20.02,,
1980-01-01,21.56,,
1980-02-01,22.6,,
1980-03-01,23.45,,
1980-04-01,24.49,,
1980-05-01,24.89,,
1980-06-01,25.97,,
1980-07-01,27.94,,
1980-08-01,28.64,,
1980-09-01,28.49,,
1980-10-01,28.2,,
1980-11-01,28.77,,
1980-12-01,29.85,,
1981-01-01,27.8,,
1981-02-01,27.98,,
1981-03-01,28.08,,
1981-04-01,28.72,,
1981-05-01,28.57,,
1981-06-01,27.83,,
1981-07-01,26.55,,
1981-08-01,26.54,,
1981-09-01,27.47,,
1981-10-01,28.36,,
1981-11-01,28.6,,
1981-12-01,28.68,,
1982-01-01,30.86,,
1982-02-01,32.74,,
1982-03-01,34.71,,
1982-04-01,38.88,,
1982-05-01,44.5,,
1982-06-01,49.37,,
1982-07-01,54.35,,
1982-08-01,68.21,,
1982-09-01,73.95,,
1982-10-01,79.0,,
1982-11-01,84.49,,
1982-12-01,98.84,,
1983-01-01,110.04,110.12,109.81
1983-02-01,112.95,114.04,109.5
1983-03-01,115.39,115.68,114.44
1983-04-01,117.25,115.54,122.87
1983-05-01,114.61,111.71,124.39
1983-06-01,112.5,108.9,124.85
1983-07-01,112.08,110.58,117.18
1983-08-01,98.08,101.3,87.8
1983-09-01,93.83,97.23,82.91
1983-10-01,90.39,92.38,83.83
1983-11-01,91.87,92.26,90.54
1983-12-01,80.78,86.59,63.21
1984-01-01,73.4,75.89,65.59
